Ns	time/s	cycle number	Ecell/V	I/mA	Q charge/mA.h	Q discharge/mA.h	Temperature/°C	
0	1,110000052722171E+003	0,000000000000000E+000	3,3492959E+000	9,9990830E+003	3,083410594740125E+003	0,000000000000000E+000	2,6438974E+001
0	1,140000054147094E+003	0,000000000000000E+000	3,3492172E+000	9,9992793E+003	3,166742513006727E+003	0,000000000000000E+000	2,6589157E+001
0	1,170000055572018E+003	0,000000000000000E+000	3,3492959E+000	9,9982949E+003	3,250074318724500E+003	0,000000000000000E+000	2,6407356E+001
0	1,200000056996942E+003	0,000000000000000E+000	3,3492959E+000	1,0000657E+004	3,333406062680121E+003	0,000000000000000E+000	2,6510115E+001
0	1,230000058421865E+003	0,000000000000000E+000	3,3493352E+000	1,0000657E+004	3,416737900330946E+003	0,000000000000000E+000	2,6541733E+001
0	1,260000059846789E+003	0,000000000000000E+000	3,3493745E+000	1,0000067E+004	3,500069779212239E+003	0,000000000000000E+000	2,6549637E+001
0	1,290000061271712E+003	0,000000000000000E+000	3,3492172E+000	9,9992793E+003	3,583401450769856E+003	0,000000000000000E+000	2,6684010E+001
0	1,320000062696636E+003	0,000000000000000E+000	3,3492959E+000	1,0000067E+004	3,666733167628038E+003	0,000000000000000E+000	2,6573351E+001
0	1,350000064121559E+003	0,000000000000000E+000	3,3493352E+000	9,9992793E+003	3,750064831975911E+003	0,000000000000000E+000	2,6589157E+001
0	1,380000065546483E+003	0,000000000000000E+000	3,3494141E+000	1,0000461E+004	3,833396550151909E+003	0,000000000000000E+000	2,6533827E+001
0	1,410000066971406E+003	0,000000000000000E+000	3,3493745E+000	1,0000264E+004	3,916728314872504E+003	0,000000000000000E+000	2,6510115E+001
0	1,440000068396330E+003	0,000000000000000E+000	3,3493352E+000	9,9994766E+003	4,000059919123263E+003	0,000000000000000E+000	2,6707724E+001
0	1,470000069821253E+003	0,000000000000000E+000	3,3492959E+000	1,0000067E+004	4,083391739590928E+003	0,000000000000000E+000	2,6494305E+001
0	1,500000071246177E+003	0,000000000000000E+000	3,3493352E+000	1,0000461E+004	4,166723575723198E+003	0,000000000000000E+000	2,6581253E+001
0	1,530000072671101E+003	0,000000000000000E+000	3,3492172E+000	1,0000067E+004	4,250055439410265E+003	0,000000000000000E+000	2,6684010E+001
0	1,560000074096024E+003	0,000000000000000E+000	3,3492959E+000	1,0001249E+004	4,333387331442600E+003	0,000000000000000E+000	2,6494305E+001
0	1,590000075520948E+003	0,000000000000000E+000	3,3492959E+000	9,9998711E+003	4,416718972469076E+003	0,000000000000000E+000	2,6691914E+001
0	1,620000076945871E+003	0,000000000000000E+000	3,3492959E+000	9,9982949E+003	4,500050702898764E+003	0,000000000000000E+000	2,6510115E+001
0	1,650000078370795E+003	0,000000000000000E+000	3,3492959E+000	9,9998711E+003	4,583382500187718E+003	0,000000000000000E+000	2,6612871E+001
0	1,680000079795718E+003	0,000000000000000E+000	3,3491383E+000	9,9988857E+003	4,666714265378148E+003	0,000000000000000E+000	2,6565443E+001
0	1,710000081220642E+003	0,000000000000000E+000	3,3492565E+000	1,0000264E+004	4,750046046254884E+003	0,000000000000000E+000	2,6652391E+001
0	1,740000082645565E+003	0,000000000000000E+000	3,3491383E+000	9,9992793E+003	4,833377777654623E+003	0,000000000000000E+000	2,6707724E+001
0	1,770000084070489E+003	0,000000000000000E+000	3,3491383E+000	9,9994766E+003	4,916709576367731E+003	0,000000000000000E+000	2,6510115E+001
