Ns	time/s	cycle number	Ecell/V	I/mA	Q charge/mA.h	Q discharge/mA.h	Temperature/°C	
1	1,023280048603192E+003	1,000000000000000E+000	3,2985809E+000	2,9999238E+004	5,249566078653429E+003	0,000000000000000E+000	2,6536880E+001
1	1,053280050028116E+003	1,000000000000000E+000	3,3062217E+000	3,0000025E+004	5,499546228933377E+003	0,000000000000000E+000	2,6671274E+001
1	1,083280051453039E+003	1,000000000000000E+000	3,3127992E+000	2,9998254E+004	5,749526386684029E+003	0,000000000000000E+000	2,6766138E+001
1	1,113280052877963E+003	1,000000000000000E+000	3,3174860E+000	2,9998254E+004	5,999506953900825E+003	0,000000000000000E+000	2,6710802E+001
1	1,143280054302886E+003	1,000000000000000E+000	3,3206763E+000	2,9998449E+004	6,249487071888022E+003	0,000000000000000E+000	2,6647558E+001
1	1,173280055727810E+003	1,000000000000000E+000	3,3223305E+000	2,9996875E+004	6,499467423406034E+003	0,000000000000000E+000	2,6718704E+001
1	1,203280057152733E+003	1,000000000000000E+000	3,3236697E+000	2,9998646E+004	6,749447629511720E+003	0,000000000000000E+000	2,6600124E+001
1	1,233280058577657E+003	1,000000000000000E+000	3,3245361E+000	2,9996281E+004	6,999427430081381E+003	0,000000000000000E+000	2,6576408E+001
1	1,263280060002580E+003	1,000000000000000E+000	3,3250875E+000	2,9997859E+004	7,249406896219619E+003	0,000000000000000E+000	2,6679178E+001
1	1,293280061427504E+003	1,000000000000000E+000	3,3255208E+000	2,9997467E+004	7,499386862737631E+003	0,000000000000000E+000	2,6560598E+001
1	1,323280062852427E+003	1,000000000000000E+000	3,3260722E+000	2,9995297E+004	7,749366603996312E+003	0,000000000000000E+000	2,6608028E+001
1	1,353280064277351E+003	1,000000000000000E+000	3,3265448E+000	2,9997859E+004	7,999346564404298E+003	0,000000000000000E+000	2,6497351E+001
1	1,383280065702274E+003	1,000000000000000E+000	3,3269386E+000	2,9997662E+004	8,249326231350913E+003	0,000000000000000E+000	2,6600124E+001
