Ns	time/s	cycle number	Ecell/V	I/mA	Q charge/mA.h	Q discharge/mA.h	Temperature/°C	
0	0,000000000000000E+000	0,000000000000000E+000	3,0743291E+000	-4,9990441E+004	0,000000000000000E+000	0,000000000000000E+000	2,4263586E+001
0	3,000000142492354E+001	0,000000000000000E+000	3,0002019E+000	-4,9994578E+004	0,000000000000000E+000	4,166436605902778E+002	2,4982395E+001
0	6,000000284984708E+001	0,000000000000000E+000	2,9775147E+000	-4,9997727E+004	0,000000000000000E+000	8,332850417947049E+002	2,6104053E+001
0	9,000000427477062E+001	0,000000000000000E+000	2,9581361E+000	-5,0000289E+004	0,000000000000000E+000	1,249924081330295E+003	2,6499002E+001
0	1,200000056996942E+002	0,000000000000000E+000	2,9381666E+000	-4,9997336E+004	0,000000000000000E+000	1,666560651191406E+003	2,6364719E+001
0	1,500000071246177E+002	0,000000000000000E+000	2,9165428E+000	-4,9999105E+004	0,000000000000000E+000	2,083196575112847E+003	2,6988741E+001
0	1,800000085495412E+002	0,000000000000000E+000	2,8929102E+000	-5,0001277E+004	0,000000000000000E+000	2,499830862558594E+003	2,7194115E+001
0	2,100000099744648E+002	0,000000000000000E+000	2,8665206E+000	-4,9999109E+004	0,000000000000000E+000	2,916464384047309E+003	2,7336298E+001
0	2,400000113993883E+002	0,000000000000000E+000	2,8365860E+000	-4,9996742E+004	0,000000000000000E+000	3,333097947196180E+003	2,7525873E+001
0	2,700000128243119E+002	0,000000000000000E+000	2,8018856E+000	-5,0000684E+004	0,000000000000000E+000	3,749731210750868E+003	2,7502178E+001
0	3,000000142492354E+002	0,000000000000000E+000	2,7611589E+000	-4,9997336E+004	0,000000000000000E+000	4,166363847065972E+003	2,7438986E+001
0	3,300000156741589E+002	0,000000000000000E+000	2,7112551E+000	-5,0001273E+004	0,000000000000000E+000	4,582997424609374E+003	2,7644360E+001
0	3,600000170990825E+002	0,000000000000000E+000	2,6467383E+000	-4,9987676E+004	0,000000000000000E+000	4,999613610008680E+003	2,7533772E+001
0	3,900000185240060E+002	0,000000000000000E+000	2,5562651E+000	-4,9989648E+004	0,000000000000000E+000	5,416199241686197E+003	2,7533772E+001
0	4,034940191649366E+002	0,000000000000000E+000	2,4999802E+000	-4,9991227E+004	0,000000000000000E+000	5,603579329309895E+003	2,7517973E+001
