Ns	time/s	cycle number	Ecell/V	I/mA	Q charge/mA.h	Q discharge/mA.h	Temperature/°C	
0	0,000000000000000E+000	0,000000000000000E+000	2,9749939E+000	-4,9984137E+004	0,000000000000000E+000	0,000000000000000E+000	1,1569883E+001
0	3,000000142492354E+001	0,000000000000000E+000	2,8445423E+000	-4,9995758E+004	0,000000000000000E+000	4,166322852821181E+002	1,2280794E+001
0	6,000000284984708E+001	0,000000000000000E+000	2,8056276E+000	-4,9995363E+004	0,000000000000000E+000	8,332622007682292E+002	1,3102289E+001
0	9,000000427477062E+001	0,000000000000000E+000	2,7675791E+000	-4,9997336E+004	0,000000000000000E+000	1,249890327003038E+003	1,3742109E+001
0	1,200000056996942E+002	0,000000000000000E+000	2,7260253E+000	-4,9993789E+004	0,000000000000000E+000	1,666517155160590E+003	1,3734211E+001
0	1,500000071246177E+002	0,000000000000000E+000	2,6774604E+000	-4,9996941E+004	0,000000000000000E+000	2,083141837719184E+003	1,3963282E+001
0	1,800000085495412E+002	0,000000000000000E+000	2,6178277E+000	-4,9992406E+004	0,000000000000000E+000	2,499765171163194E+003	1,4231849E+001
0	2,100000099744648E+002	0,000000000000000E+000	2,5386982E+000	-4,9994773E+004	0,000000000000000E+000	2,916388043773871E+003	1,4413525E+001
0	2,214460105181206E+002	0,000000000000000E+000	2,4999409E+000	-4,9992012E+004	0,000000000000000E+000	3,075340122098524E+003	1,4484616E+001
0	2,214480105182156E+002	0,000000000000000E+000	2,5000985E+000	-4,9987879E+004	0,000000000000000E+000	3,075367893142361E+003	1,4484616E+001
1	2,214500105183106E+002	1,000000000000000E+000	2,7106247E+000	2,9944301E+004	1,663572265625000E-002	0,000000000000000E+000	1,4484616E+001
1	2,514500119432341E+002	1,000000000000000E+000	2,9925213E+000	3,0010105E+004	2,501084112934028E+002	0,000000000000000E+000	1,4445121E+001
1	2,814500133681577E+002	1,000000000000000E+000	3,0452611E+000	3,0010695E+004	5,002011711273872E+002	0,000000000000000E+000	1,4105464E+001
1	3,114500147930812E+002	1,000000000000000E+000	3,0822461E+000	3,0011877E+004	7,502949369303385E+002	0,000000000000000E+000	1,4160756E+001
1	3,414500162180047E+002	1,000000000000000E+000	3,1123776E+000	3,0011285E+004	1,000389565574002E+003	0,000000000000000E+000	1,3892191E+001
1	3,714500176429283E+002	1,000000000000000E+000	3,1383734E+000	3,0011877E+004	1,250484537519531E+003	0,000000000000000E+000	1,3844796E+001
1	4,014500190678518E+002	1,000000000000000E+000	3,1615727E+000	3,0012666E+004	1,500580116769748E+003	0,000000000000000E+000	1,3860595E+001
1	4,314500204927754E+002	1,000000000000000E+000	3,1826844E+000	3,0010301E+004	1,750676120628255E+003	0,000000000000000E+000	1,3465644E+001
1	4,614500219176989E+002	1,000000000000000E+000	3,2019448E+000	3,0008922E+004	2,000772537476128E+003	0,000000000000000E+000	1,3560431E+001
1	4,914500233426224E+002	1,000000000000000E+000	3,2199056E+000	3,0013652E+004	2,250869567401259E+003	0,000000000000000E+000	1,3663118E+001
1	5,214500247675460E+002	1,000000000000000E+000	3,2365665E+000	3,0009711E+004	2,500967385441623E+003	0,000000000000000E+000	1,3750009E+001
1	5,514500261924695E+002	1,000000000000000E+000	3,2518883E+000	3,0012271E+004	2,751065237878689E+003	0,000000000000000E+000	1,3860595E+001
1	5,814500276173931E+002	1,000000000000000E+000	3,2660284E+000	3,0012467E+004	3,001163474205729E+003	0,000000000000000E+000	1,3813200E+001
1	6,114500290423166E+002	1,000000000000000E+000	3,2789080E+000	3,0012074E+004	3,251262436389974E+003	0,000000000000000E+000	1,3765807E+001
1	6,414500304672401E+002	1,000000000000000E+000	3,2909212E+000	3,0011682E+004	3,501362030827908E+003	0,000000000000000E+000	1,3726312E+001
1	6,714500318921637E+002	1,000000000000000E+000	3,3021467E+000	3,0009711E+004	3,751461566105686E+003	0,000000000000000E+000	1,3963282E+001
1	7,014500333170872E+002	1,000000000000000E+000	3,3122694E+000	3,0011879E+004	4,001561683421224E+003	0,000000000000000E+000	1,3805301E+001
1	7,314500347420108E+002	1,000000000000000E+000	3,3219588E+000	3,0013453E+004	4,251661544259983E+003	0,000000000000000E+000	1,3900090E+001
1	7,614500361669343E+002	1,000000000000000E+000	3,3305058E+000	3,0011877E+004	4,501761594747180E+003	0,000000000000000E+000	1,3828999E+001
1	7,914500375918578E+002	1,000000000000000E+000	3,3385015E+000	3,0009514E+004	4,751861904983724E+003	0,000000000000000E+000	1,3757908E+001
1	8,214500390167814E+002	1,000000000000000E+000	3,3451974E+000	3,0010893E+004	5,001962442013889E+003	0,000000000000000E+000	1,3655221E+001
1	8,514500404417049E+002	1,000000000000000E+000	3,3507116E+000	3,0010893E+004	5,252063368836805E+003	0,000000000000000E+000	1,3489342E+001
1	8,814500418666285E+002	1,000000000000000E+000	3,3546109E+000	3,0010498E+004	5,502164479152560E+003	0,000000000000000E+000	1,3710513E+001
1	9,114500432915520E+002	1,000000000000000E+000	3,3572500E+000	3,0013256E+004	5,752266139714627E+003	0,000000000000000E+000	1,3607826E+001
1	9,414500447164755E+002	1,000000000000000E+000	3,3590617E+000	3,0012668E+004	6,002367552733290E+003	0,000000000000000E+000	1,3765807E+001
1	9,714500461413991E+002	1,000000000000000E+000	3,3602040E+000	3,0011680E+004	6,252468825629340E+003	0,000000000000000E+000	1,3686816E+001
1	1,001450047566323E+003	1,000000000000000E+000	3,3610311E+000	3,0012469E+004	6,502570441693793E+003	0,000000000000000E+000	1,3678917E+001
1	1,031450048991246E+003	1,000000000000000E+000	3,3615432E+000	3,0012863E+004	6,752671683287760E+003	0,000000000000000E+000	1,3639422E+001
1	1,061450050416170E+003	1,000000000000000E+000	3,3620946E+000	3,0010893E+004	7,002773327677951E+003	0,000000000000000E+000	1,3765807E+001
1	1,091450051841093E+003	1,000000000000000E+000	3,3624492E+000	3,0009711E+004	7,252874753822699E+003	0,000000000000000E+000	1,3718412E+001
1	1,121450053266017E+003	1,000000000000000E+000	3,3628430E+000	3,0012273E+004	7,502975852792968E+003	0,000000000000000E+000	1,3655221E+001
1	1,151450054690940E+003	1,000000000000000E+000	3,3633549E+000	3,0010105E+004	7,753077417377386E+003	0,000000000000000E+000	1,3528837E+001
1	1,181450056115864E+003	1,000000000000000E+000	3,3637094E+000	3,0010303E+004	8,003179012467447E+003	0,000000000000000E+000	1,3710513E+001
1	1,211450057540787E+003	1,000000000000000E+000	3,3640246E+000	3,0012271E+004	8,253280488740234E+003	0,000000000000000E+000	1,3576230E+001
1	1,241450058965711E+003	1,000000000000000E+000	3,3644972E+000	3,0011090E+004	8,503382089590928E+003	0,000000000000000E+000	1,3568331E+001
1	1,271450060390634E+003	1,000000000000000E+000	3,3651273E+000	3,0010500E+004	8,753483450661892E+003	0,000000000000000E+000	1,3773706E+001
1	1,301450061815558E+003	1,000000000000000E+000	3,3656394E+000	3,0011090E+004	9,003585095819228E+003	0,000000000000000E+000	1,3686816E+001
1	1,331450063240482E+003	1,000000000000000E+000	3,3662302E+000	3,0010697E+004	9,253686264551867E+003	0,000000000000000E+000	1,3718412E+001
1	1,361450064665405E+003	1,000000000000000E+000	3,3669786E+000	3,0011090E+004	9,503787372287326E+003	0,000000000000000E+000	1,3576230E+001
1	1,391450066090329E+003	1,000000000000000E+000	3,3676481E+000	3,0012666E+004	9,753888855437282E+003	0,000000000000000E+000	1,3584129E+001
1	1,421450067515252E+003	1,000000000000000E+000	3,3683965E+000	3,0011682E+004	1,000399056891059E+004	0,000000000000000E+000	1,3639422E+001
