Ns	time/s	cycle number	Ecell/V	I/mA	Q charge/mA.h	Q discharge/mA.h	Temperature/°C	
1	1,045700049668085E+003	1,000000000000000E+000	3,3643551E+000	2,9998254E+004	6,749533202429472E+003	0,000000000000000E+000	1,4228058E+001
1	1,075700051093008E+003	1,000000000000000E+000	3,3649459E+000	2,9999828E+004	6,999518991002606E+003	0,000000000000000E+000	1,3982988E+001
1	1,105700052517932E+003	1,000000000000000E+000	3,3654578E+000	3,0000025E+004	7,249504305543621E+003	0,000000000000000E+000	1,4212247E+001
1	1,135700053942855E+003	1,000000000000000E+000	3,3658123E+000	2,9998646E+004	7,499489592318794E+003	0,000000000000000E+000	1,4054137E+001
1	1,165700055367779E+003	1,000000000000000E+000	3,3662455E+000	2,9999240E+004	7,749475330061849E+003	0,000000000000000E+000	1,4101570E+001
1	1,195700056792703E+003	1,000000000000000E+000	3,3667576E+000	2,9998451E+004	7,999461252090930E+003	0,000000000000000E+000	1,4022515E+001
1	1,225700058217626E+003	1,000000000000000E+000	3,3672302E+000	2,9997465E+004	8,249447203219403E+003	0,000000000000000E+000	1,4062042E+001
1	1,255700059642550E+003	1,000000000000000E+000	3,3676634E+000	2,9999238E+004	8,499433749216581E+003	0,000000000000000E+000	1,4109475E+001
1	1,285700061067473E+003	1,000000000000000E+000	3,3681362E+000	2,9998648E+004	8,749419693678386E+003	0,000000000000000E+000	1,4164814E+001
1	1,315700062492397E+003	1,000000000000000E+000	3,3687663E+000	2,9999041E+004	8,999406032568360E+003	0,000000000000000E+000	1,4077854E+001
1	1,345700063917320E+003	1,000000000000000E+000	3,3694358E+000	2,9996875E+004	9,249392100398221E+003	0,000000000000000E+000	1,4085759E+001
1	1,375700065342244E+003	1,000000000000000E+000	3,3700266E+000	3,0001406E+004	9,499378203621962E+003	0,000000000000000E+000	1,4006705E+001
1	1,405700066767167E+003	1,000000000000000E+000	3,3707750E+000	2,9998648E+004	9,749364314471572E+003	0,000000000000000E+000	1,4133192E+001
1	1,435700068192091E+003	1,000000000000000E+000	3,3716414E+000	2,9998449E+004	9,999350660107422E+003	0,000000000000000E+000	1,4149002E+001
1	1,465700069617014E+003	1,000000000000000E+000	3,3724685E+000	2,9997662E+004	1,024933678897027E+004	0,000000000000000E+000	1,4030420E+001
1	1,495700071041938E+003	1,000000000000000E+000	3,3734138E+000	3,0000027E+004	1,049932318975369E+004	0,000000000000000E+000	1,4125287E+001
1	1,525700072466861E+003	1,000000000000000E+000	3,3743591E+000	2,9999828E+004	1,074930926053928E+004	0,000000000000000E+000	1,4188531E+001
1	1,555700073891785E+003	1,000000000000000E+000	3,3753438E+000	2,9997859E+004	1,099929524628472E+004	0,000000000000000E+000	1,4378262E+001
1	1,585700075316709E+003	1,000000000000000E+000	3,3764071E+000	2,9998449E+004	1,124928115013021E+004	0,000000000000000E+000	1,4386168E+001
1	1,615700076741632E+003	1,000000000000000E+000	3,3773129E+000	2,9998252E+004	1,149926714208116E+004	0,000000000000000E+000	1,4307113E+001
1	1,645700078166556E+003	1,000000000000000E+000	3,3783765E+000	2,9999436E+004	1,174925334392687E+004	0,000000000000000E+000	1,4172719E+001
1	1,675700079591479E+003	1,000000000000000E+000	3,3795185E+000	2,9997465E+004	1,199923985684462E+004	0,000000000000000E+000	1,4220152E+001
1	1,705700081016403E+003	1,000000000000000E+000	3,3807790E+000	2,9997660E+004	1,224922656626953E+004	0,000000000000000E+000	1,3951366E+001
1	1,735700082441326E+003	1,000000000000000E+000	3,3820786E+000	2,9998451E+004	1,249921310149306E+004	0,000000000000000E+000	1,4180626E+001
1	1,765700083866250E+003	1,000000000000000E+000	3,3833389E+000	2,9998648E+004	1,274919963491211E+004	0,000000000000000E+000	1,4085759E+001
1	1,795700085291173E+003	1,000000000000000E+000	3,3845599E+000	2,9995693E+004	1,299918613238064E+004	0,000000000000000E+000	1,4125287E+001
1	1,825700086716097E+003	1,000000000000000E+000	3,3858597E+000	2,9998254E+004	1,324917267245985E+004	0,000000000000000E+000	1,4014610E+001
1	1,855700088141020E+003	1,000000000000000E+000	3,3872383E+000	2,9999830E+004	1,349915910590929E+004	0,000000000000000E+000	1,4117380E+001
1	1,885700089565944E+003	1,000000000000000E+000	3,3885379E+000	2,9997467E+004	1,374914593147570E+004	0,000000000000000E+000	1,3896029E+001
1	1,915700090990867E+003	1,000000000000000E+000	3,3897982E+000	3,0000025E+004	1,399913319701606E+004	0,000000000000000E+000	1,4243869E+001
1	1,945700092415791E+003	1,000000000000000E+000	3,3911374E+000	3,0000223E+004	1,424912022828451E+004	0,000000000000000E+000	1,4014610E+001
