Ns	time/s	cycle number	Ecell/V	I/mA	Q charge/mA.h	Q discharge/mA.h	Temperature/°C	
0	0,000000000000000E+000	0,000000000000000E+000	3,1017704E+000	-4,9997215E+004	0,000000000000000E+000	0,000000000000000E+000	3,3920589E+001
0	3,000000142492354E+001	0,000000000000000E+000	3,0678988E+000	-5,0003125E+004	0,000000000000000E+000	4,166876649587674E+002	3,4537220E+001
0	6,000000284984708E+001	0,000000000000000E+000	3,0583675E+000	-5,0003125E+004	0,000000000000000E+000	8,333727901150173E+002	3,5477970E+001
0	9,000000427477062E+001	0,000000000000000E+000	3,0538776E+000	-5,0002531E+004	0,000000000000000E+000	1,250055516994358E+003	3,5636078E+001
0	1,200000056996942E+002	0,000000000000000E+000	3,0502145E+000	-4,9998199E+004	0,000000000000000E+000	1,666736526740452E+003	3,6466152E+001
0	1,500000071246177E+002	0,000000000000000E+000	3,0483241E+000	-4,9998789E+004	0,000000000000000E+000	2,083416150746528E+003	3,7185551E+001
0	1,800000085495412E+002	0,000000000000000E+000	3,0465124E+000	-5,0001156E+004	0,000000000000000E+000	2,500094143747830E+003	3,7406906E+001
0	2,100000099744648E+002	0,000000000000000E+000	3,0445824E+000	-5,0003320E+004	0,000000000000000E+000	2,916770935227865E+003	3,7406906E+001
0	2,400000113993883E+002	0,000000000000000E+000	3,0428102E+000	-5,0003914E+004	0,000000000000000E+000	3,333448688005642E+003	3,7493866E+001
0	2,700000128243119E+002	0,000000000000000E+000	3,0409985E+000	-5,0000563E+004	0,000000000000000E+000	3,750125541590712E+003	3,7319946E+001
0	3,000000142492354E+002	0,000000000000000E+000	3,0393441E+000	-5,0002336E+004	0,000000000000000E+000	4,166802149802517E+003	3,7454338E+001
0	3,300000156741589E+002	0,000000000000000E+000	3,0374537E+000	-5,0002926E+004	0,000000000000000E+000	4,583478090655381E+003	3,7485962E+001
0	3,600000170990825E+002	0,000000000000000E+000	3,0355237E+000	-5,0002535E+004	0,000000000000000E+000	5,000153979574652E+003	3,7683594E+001
0	3,900000185240060E+002	0,000000000000000E+000	3,0332787E+000	-5,0004309E+004	0,000000000000000E+000	5,416829709192708E+003	3,7493866E+001
0	4,200000199489295E+002	0,000000000000000E+000	3,0305612E+000	-5,0001742E+004	0,000000000000000E+000	5,833505488650173E+003	3,7596634E+001
0	4,500000213738531E+002	0,000000000000000E+000	3,0274496E+000	-5,0001352E+004	0,000000000000000E+000	6,250181148246527E+003	3,7731030E+001
0	4,800000227987766E+002	0,000000000000000E+000	3,0239837E+000	-5,0000172E+004	0,000000000000000E+000	6,666856730381944E+003	3,7817989E+001
0	5,100000242237002E+002	0,000000000000000E+000	3,0190210E+000	-4,9997016E+004	0,000000000000000E+000	7,083532226197916E+003	3,7889137E+001
0	5,400000256486237E+002	0,000000000000000E+000	3,0121679E+000	-5,0001746E+004	0,000000000000000E+000	7,500207651072048E+003	3,7944477E+001
0	5,700000270735472E+002	0,000000000000000E+000	3,0031881E+000	-4,9998793E+004	0,000000000000000E+000	7,916883042489148E+003	3,7952381E+001
0	6,000000284984708E+002	0,000000000000000E+000	2,9902697E+000	-4,9999188E+004	0,000000000000000E+000	8,333558322087672E+003	3,8308128E+001
0	6,300000299233943E+002	0,000000000000000E+000	2,9746728E+000	-5,0005492E+004	0,000000000000000E+000	8,750233715160590E+003	3,8355564E+001
0	6,600000313483179E+002	0,000000000000000E+000	2,9564767E+000	-5,0000563E+004	0,000000000000000E+000	9,166908969763454E+003	3,8300224E+001
0	6,900000327732414E+002	0,000000000000000E+000	2,9359174E+000	-5,0001152E+004	0,000000000000000E+000	9,583584002680120E+003	3,8292320E+001
0	7,200000341981649E+002	0,000000000000000E+000	2,9122465E+000	-5,0006078E+004	0,000000000000000E+000	1,000025919909288E+004	3,8229073E+001
0	7,500000356230885E+002	0,000000000000000E+000	2,8863699E+000	-5,0004699E+004	0,000000000000000E+000	1,041693436751953E+004	3,8426712E+001
0	7,800000370480120E+002	0,000000000000000E+000	2,8564370E+000	-5,0000762E+004	0,000000000000000E+000	1,083360908236762E+004	3,8561104E+001
0	8,100000384729356E+002	0,000000000000000E+000	2,8218169E+000	-5,0002730E+004	0,000000000000000E+000	1,125028475675564E+004	3,8347656E+001
